,Timestamp,YEAR,DOY,HR,Scalar_B,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Proton_Density,SW_Plasma_Temperature,SW_Plasma_Speed,Dst-index
52,1999-3-4,1999,3,4,4.96,-2.464,3.218,-0.284,3.223,0.075,5.452,42383.0,363.98,-11.0
53,1999-3-5,1999,3,5,4.995,-3.906,1.623,2.184,1.503,2.276,5.471,51060.0,353.74,-5.0
54,1999-3-6,1999,3,6,4.724,-4.103,1.397,0.471,1.384,0.473,5.465,59679.0,350.18,-4.0
55,1999-3-7,1999,3,7,4.834,-2.672,2.792,1.362,2.854,1.247,5.391,34801.0,357.68,-3.0
56,1999-3-8,1999,3,8,4.792,-2.979,-0.967,3.33,-0.702,3.39,6.201,29691.0,357.22,-1.0
57,1999-3-9,1999,3,9,4.825,-2.78,-0.711,3.609,-0.355,3.66,5.998,27928.0,356.54,-1.0
58,1999-3-10,1999,3,10,4.727,-3.494,2.571,1.242,2.688,0.964,5.542,31375.0,348.85,-1.0
59,1999-3-11,1999,3,11,4.726,-2.168,4.038,0.233,4.041,-0.169,5.501,26168.0,354.21,0.0
60,1999-3-12,1999,3,12,4.686,-2.036,3.875,-1.237,3.765,-1.547,5.227,27177.0,349.41,-2.0
61,1999-3-13,1999,3,13,4.479,-2.252,3.392,-0.977,3.334,-1.157,4.999,34195.0,346.18,-6.0
62,1999-3-14,1999,3,14,4.378,-2.805,2.46,0.709,2.468,0.676,5.456,41950.0,342.89,-6.0
63,1999-3-15,1999,3,15,4.344,-0.876,3.537,-0.693,3.554,-0.593,5.95,25556.0,349.54,-3.0
64,1999-3-16,1999,3,16,4.489,-1.936,2.095,1.648,1.96,1.793,5.954,31596.0,341.68,-1.0
65,1999-3-17,1999,3,17,4.476,-2.208,2.694,1.628,2.449,1.951,5.649,31108.0,337.52,1.0
66,1999-3-18,1999,3,18,4.666,-2.228,2.642,1.944,2.28,2.383,5.58,32165.0,335.79,0.0
67,1999-3-19,1999,3,19,5.204,-1.797,3.844,-2.138,4.216,-1.251,6.351,32205.0,337.62,0.0
68,1999-3-20,1999,3,20,5.497,-2.168,4.064,-1.116,4.211,-0.061,6.154,34299.0,338.8,0.0
69,1999-3-21,1999,3,21,5.66,-0.889,5.451,-0.348,5.336,1.17,6.898,26068.0,345.69,-1.0
70,1999-3-22,1999,3,22,5.631,0.662,5.361,0.071,5.109,1.625,7.971,23130.0,348.12,-7.0
71,1999-3-23,1999,3,23,6.065,-0.515,5.465,-2.181,5.864,-0.486,7.887,23488.0,346.16,-9.0
72,1999-4-0,1999,4,0,6.971,-1.055,6.095,-3.082,6.713,-1.241,9.116,20344.0,348.57,-7.0
73,1999-4-1,1999,4,1,7.747,0.123,6.808,-3.414,7.462,-1.545,9.713,23082.0,360.12,-5.0
74,1999-4-2,1999,4,2,8.265,0.268,7.62,-3.021,8.095,-1.262,9.14,21600.0,365.23,-4.0
75,1999-4-3,1999,4,3,8.421,-0.615,6.758,-4.91,7.501,-3.656,9.869,19433.0,356.93,-7.0
76,1999-4-4,1999,4,4,7.965,1.318,5.073,-5.858,5.737,-5.199,10.64,17775.0,356.43,-8.0
77,1999-4-5,1999,4,5,7.665,0.421,6.08,-4.46,6.347,-4.062,10.51,18085.0,353.3,-11.0
78,1999-4-6,1999,4,6,7.522,0.972,6.565,-3.256,6.608,-3.196,11.665,15886.0,345.44,-18.0
79,1999-4-7,1999,4,7,7.775,2.477,7.144,0.039,7.149,-0.211,11.203,15235.0,349.36,-24.0
80,1999-4-8,1999,4,8,7.439,2.91,6.557,1.198,6.624,0.74,12.127,11571.0,349.1,-29.0
81,1999-4-9,1999,4,9,7.034,-0.504,6.323,-2.711,6.053,-3.274,11.101,19107.0,339.16,-29.0
82,1999-4-10,1999,4,10,7.135,1.065,6.622,-1.715,6.422,-2.355,11.112,20709.0,335.7,-26.0
83,1999-4-11,1999,4,11,7.571,0.65,7.173,-0.982,7.054,-1.636,12.801,14138.0,341.29,-24.0
84,1999-4-12,1999,4,12,8.359,0.864,8.122,-1.591,7.98,-2.184,11.359,10760.0,339.39,-18.0
85,1999-4-13,1999,4,13,7.825,0.566,7.386,-2.0,7.301,-2.333,12.035,14649.0,336.31,-17.0
86,1999-4-14,1999,4,14,8.604,0.648,7.937,-3.072,7.91,-3.121,8.864,12268.0,336.09,-15.0
87,1999-4-15,1999,4,15,8.843,0.672,8.06,-3.451,8.19,-3.144,8.257,10545.0,336.04,-18.0
88,1999-4-16,1999,4,16,9.127,0.594,8.076,-4.171,8.405,-3.463,7.106,10884.0,335.02,-21.0
89,1999-4-17,1999,4,17,9.254,0.507,7.829,-4.879,8.416,-3.781,6.252,12815.0,331.34,-22.0
90,1999-4-18,1999,4,18,9.592,-0.373,7.731,-5.635,8.626,-4.142,4.591,15018.0,326.65,-20.0
91,1999-4-19,1999,4,19,9.711,-0.282,8.319,-4.833,9.18,-2.852,5.002,16574.0,318.35,-21.0
92,1999-4-20,1999,4,20,9.593,0.982,8.845,-3.483,9.448,-1.086,4.817,20107.0,319.18,-21.0
93,1999-4-21,1999,4,21,9.68,-1.128,5.339,-7.033,7.126,-5.245,5.364,25145.0,328.3,-23.0
94,1999-4-22,1999,4,22,8.29,-1.206,0.567,-6.848,2.573,-6.37,8.639,52755.0,323.92,-24.0
95,1999-4-23,1999,4,23,6.886,-2.858,-3.032,-5.423,-1.268,-6.082,9.102,68220.0,323.82,-26.0
96,1999-5-0,1999,5,0,8.646,-3.495,-2.579,-7.229,-0.382,-7.672,5.409,54859.0,326.13,-31.0
97,1999-5-1,1999,5,1,8.231,-3.712,-0.567,-7.246,1.376,-7.134,5.005,49492.0,329.53,-31.0
98,1999-5-2,1999,5,2,7.752,-2.874,-0.786,-7.068,0.85,-7.057,5.045,46546.0,331.95,-30.0
99,1999-5-3,1999,5,3,7.126,-2.623,-1.301,-6.261,-0.147,-6.384,4.984,51066.0,328.41,-33.0
100,1999-5-4,1999,5,4,7.099,-1.588,-2.667,-6.319,-1.836,-6.606,4.733,46416.0,322.45,-37.0
101,1999-5-5,1999,5,5,6.952,-0.603,-3.492,-5.926,-3.063,-6.16,4.733,46416.0,319.73,-39.0
102,1999-5-6,1999,5,6,6.284,-0.428,-2.938,-5.35,-2.837,-5.408,6.541,62529.0,321.93,-40.0
103,1999-5-7,1999,5,7,7.093,0.033,-3.61,-5.98,-3.774,-5.877,5.678,47047.0,317.86,-38.0
104,1999-5-8,1999,5,8,7.264,0.705,-4.631,-5.399,-4.955,-5.102,5.452,51466.0,316.85,-33.0
105,1999-5-9,1999,5,9,7.574,1.579,-4.516,-5.642,-4.968,-5.248,5.786,44043.0,319.23,-33.0
106,1999-5-10,1999,5,10,7.306,1.475,-4.82,-4.462,-5.203,-4.007,6.305,57586.0,327.63,-32.0
107,1999-5-11,1999,5,11,7.148,1.4,-6.157,-2.132,-6.319,-1.604,6.685,65752.0,330.69,-29.0
108,1999-5-12,1999,5,12,5.787,3.503,-2.042,1.301,-1.967,1.442,8.305,91972.0,333.52,-26.0
109,1999-5-13,1999,5,13,6.988,1.018,-4.009,2.191,-3.895,2.315,9.748,69413.0,336.02,-21.0
110,1999-5-14,1999,5,14,7.821,-3.595,-6.109,-2.885,-6.121,-2.888,8.82,55339.0,344.28,-13.0
111,1999-5-15,1999,5,15,6.827,-0.975,-4.783,-0.935,-4.759,-1.141,8.35,65515.0,337.56,-11.0
112,1999-5-16,1999,5,16,7.907,4.861,1.898,5.166,1.415,5.352,9.295,56825.0,324.63,-12.0
113,1999-5-17,1999,5,17,5.693,1.612,-0.395,3.353,-0.854,3.243,10.125,66673.0,327.27,-13.0
114,1999-5-18,1999,5,18,6.71,-1.339,-5.295,0.876,-5.364,-0.149,9.895,71236.0,333.7,-9.0
115,1999-5-19,1999,5,19,7.061,-0.029,-6.671,0.714,-6.648,-0.842,8.866,75769.0,330.41,-6.0
116,1999-5-20,1999,5,20,7.417,-1.474,-4.611,0.466,-4.594,-0.747,10.447,69375.0,339.69,-7.0
117,1999-5-21,1999,5,21,8.034,-1.146,-6.154,1.085,-6.204,-0.75,11.382,67540.0,344.89,-10.0
118,1999-5-22,1999,5,22,8.554,-2.833,-6.952,-0.386,-6.496,-2.481,13.414,70346.0,346.53,-12.0
119,1999-5-23,1999,5,23,5.937,-1.255,-3.383,-2.238,-2.529,-3.167,20.171,57675.0,343.16,-6.0
120,1999-6-0,1999,6,0,4.963,1.04,-2.11,0.639,-2.221,-0.015,23.164,52449.0,341.67,-3.0
121,1999-6-1,1999,6,1,3.611,0.982,-2.556,-1.016,-2.173,-1.668,22.879,56872.0,340.29,2.0
122,1999-6-2,1999,6,2,6.029,5.069,-2.593,1.737,-2.931,1.073,24.094,42255.0,348.79,8.0
123,1999-6-3,1999,6,3,6.841,5.828,-3.404,0.14,-3.38,-0.495,21.474,40035.0,345.1,7.0
124,1999-6-4,1999,6,4,7.822,5.169,-5.432,-1.774,-5.143,-2.482,18.672,34886.0,348.35,8.0
125,1999-6-5,1999,6,5,8.386,5.045,-6.155,-2.276,-5.96,-2.763,19.511,30034.0,352.64,7.0
126,1999-6-6,1999,6,6,9.664,2.797,-8.68,-2.564,-8.616,-2.779,19.383,34972.0,358.14,3.0
127,1999-6-7,1999,6,7,11.742,3.532,-10.889,-1.728,-10.908,-1.509,17.422,50551.0,365.13,0.0
128,1999-6-8,1999,6,8,11.562,5.752,-9.846,1.45,-9.747,1.977,18.888,47993.0,357.88,0.0
129,1999-6-9,1999,6,9,11.921,7.645,-7.696,4.596,-7.323,5.159,16.987,37787.0,349.88,4.0
130,1999-6-10,1999,6,10,12.31,8.63,-5.727,6.569,-5.162,7.021,18.906,32466.0,347.86,5.0
131,1999-6-11,1999,6,11,13.191,8.67,-4.432,8.766,-3.745,9.079,25.087,30733.0,345.99,8.0
132,1999-6-12,1999,6,12,11.655,7.097,-5.762,5.913,-5.38,6.239,38.141,37549.0,352.05,13.0
133,1999-6-13,1999,6,13,16.483,-2.2,-12.047,-7.112,-12.224,-6.74,16.84,70854.0,379.11,18.0
134,1999-6-14,1999,6,14,16.535,5.33,-13.473,3.951,-13.549,3.862,7.609,114250.0,401.0,10.0
135,1999-6-15,1999,6,15,15.23,6.854,-9.443,7.118,-9.851,6.676,9.944,160390.0,411.69,2.0
136,1999-6-16,1999,6,16,14.333,3.289,-9.529,1.24,-9.534,0.223,9.371,180530.0,422.3,6.0
137,1999-6-17,1999,6,17,11.86,0.464,-10.705,-3.431,-10.084,-4.977,7.948,208700.0,418.86,8.0
138,1999-6-18,1999,6,18,11.753,0.324,-10.01,-2.553,-9.341,-4.444,8.054,200810.0,419.45,1.0
139,1999-6-19,1999,6,19,10.509,4.062,-8.358,0.158,-8.146,-1.849,9.293,221730.0,434.17,-11.0
140,1999-6-20,1999,6,20,10.904,0.872,-9.539,-1.848,-8.703,-4.372,8.774,194250.0,426.3,-16.0
141,1999-6-21,1999,6,21,10.392,4.378,-8.455,2.835,-8.918,0.202,8.547,174820.0,424.58,-15.0
142,1999-6-22,1999,6,22,9.715,5.59,-5.833,2.324,-6.269,0.401,7.835,181730.0,437.46,-21.0
143,1999-6-23,1999,6,23,9.499,9.033,-1.889,1.792,-2.356,1.109,5.455,211920.0,486.23,-20.0
144,1999-7-0,1999,7,0,8.786,7.772,0.396,2.524,-0.38,2.524,5.562,248020.0,489.4,-18.0
145,1999-7-1,1999,7,1,8.606,6.299,-3.295,2.945,-3.992,1.922,5.485,237620.0,495.84,-14.0
146,1999-7-2,1999,7,2,8.305,7.027,-3.695,1.382,-3.912,0.427,4.896,223880.0,496.08,-8.0
147,1999-7-3,1999,7,3,7.651,7.075,-0.778,2.226,-1.197,2.021,5.003,217460.0,481.75,-7.0
148,1999-7-4,1999,7,4,6.693,5.869,-1.875,-0.324,-1.793,-0.604,5.036,186240.0,472.22,-7.0
149,1999-7-5,1999,7,5,6.596,6.42,-0.621,-0.076,-0.62,-0.124,5.159,236600.0,480.1,-5.0
